call_id,phone_number,call_type,timestamp,call_duration_sec,caller_id_verified,telecom_circle,number_active_since_days,num_user_reports_total,num_distinct_recipients_contacted_24h,call_originates_from_known_contact,requested_otp_or_pin,requested_remote_access_app,requested_payment_or_gift_card,scam_category,is_fraud
CALL102260,7001003951,regular_call,2026-01-07T13:28:00,616,1,Rajasthan,3742,0,5,1,0,0,0,none,0
CALL101063,7000163886,regular_call,2025-04-29T07:28:05,445,1,UP-East,1859,1,5,0,0,0,0,none,0
CALL102271,7001594212,regular_call,2025-10-23T20:08:17,722,1,Tamil Nadu,1093,1,3,1,0,0,0,none,0
CALL200028,9990404061,whatsapp_call,2025-05-28T16:52:02,23,0,Punjab,5,160,479,0,0,1,1,loan_app_harassment,1
CALL101828,6000284553,regular_call,2025-12-04T07:06:33,204,1,Rajasthan,3281,0,4,1,0,0,0,none,0
CALL101463,9000603272,whatsapp_call,2025-05-29T09:49:30,222,1,Kerala,3985,0,3,0,0,0,0,none,0
CALL101483,7000850058,whatsapp_call,2025-02-25T01:52:31,49,1,Rajasthan,3618,0,2,1,0,0,0,none,0
CALL102264,9002873246,regular_call,2025-02-27T06:18:29,230,1,West Bengal,3572,0,4,1,0,0,0,none,0
CALL200227,9991489167,spoofed_caller_id,2025-06-08T13:02:21,10,0,West Bengal,1,26,957,0,0,0,1,sextortion_call,1
CALL200486,7770639324,telegram_call,2026-05-13T20:55:49,1264,0,Mumbai,18,109,1158,0,0,0,1,investment_trading_scam,1
CALL100367,9001082696,regular_call,2026-05-18T01:10:13,485,1,Gujarat,2060,1,5,1,0,0,0,none,0
CALL102317,8002914477,whatsapp_call,2025-02-09T09:50:13,450,1,Maharashtra,1364,0,1,1,0,0,0,none,0
CALL101076,9002048460,whatsapp_call,2026-05-09T03:03:10,170,1,Karnataka,710,1,3,1,0,0,0,none,0
CALL100393,8002851907,whatsapp_call,2026-04-04T22:38:02,29,1,Kerala,736,1,1,0,0,0,0,none,0
CALL101659,7000395130,regular_call,2025-08-14T11:09:17,564,1,Mumbai,1829,1,1,0,0,0,0,none,0
CALL100922,8001680928,whatsapp_call,2026-04-28T04:06:15,342,1,Gujarat,3600,0,1,0,0,0,0,none,0
CALL100414,6001682088,whatsapp_call,2025-04-21T15:50:07,184,1,Kerala,1770,0,1,1,0,0,0,none,0
CALL100611,9000275948,regular_call,2025-12-30T16:56:15,299,1,Maharashtra,3851,1,1,0,0,0,0,none,0
CALL101130,7002646520,whatsapp_call,2025-08-27T17:01:51,653,1,Punjab,222,0,3,1,0,0,0,none,0
CALL102118,6000031135,regular_call,2025-12-13T14:10:15,55,1,UP-West,449,0,2,1,0,0,0,none,0
CALL101840,7002962540,regular_call,2025-12-15T06:12:06,469,1,West Bengal,2687,1,2,0,0,0,0,none,0
CALL101121,6000792455,whatsapp_call,2025-03-23T17:20:36,199,1,Rajasthan,1509,1,1,0,0,0,0,none,0
CALL100953,8000276355,whatsapp_call,2025-04-08T08:31:14,244,1,Tamil Nadu,474,0,3,1,0,0,0,none,0
CALL100753,9002173699,regular_call,2025-04-12T07:25:01,297,1,UP-East,470,1,1,0,0,0,0,none,0
CALL200522,9990680924,regular_call,2025-03-18T10:05:37,29,0,UP-East,8,32,1647,0,1,1,1,job_offer_scam,1
CALL101011,9002764606,whatsapp_call,2026-03-25T08:24:56,300,1,West Bengal,1726,0,5,0,0,0,0,none,0
CALL102279,7002449414,regular_call,2025-11-13T14:53:43,501,1,Mumbai,3898,0,3,0,0,0,0,none,0
CALL100214,6001431200,regular_call,2025-11-04T00:25:31,308,1,Maharashtra,960,0,1,1,0,0,0,none,0
CALL100627,6000911539,whatsapp_call,2025-11-24T01:26:13,388,1,Kerala,1820,1,5,1,0,0,0,none,0
CALL200286,8881682666,voip_app,2025-12-12T20:31:32,1897,0,Punjab,5,488,1575,0,1,1,0,kyc_update_call,1
CALL101108,9001819392,regular_call,2025-06-30T15:28:33,857,1,Maharashtra,2543,0,2,0,0,0,0,none,0
CALL102180,8001740997,regular_call,2026-04-02T11:08:43,219,1,Punjab,2799,0,3,0,0,0,0,none,0
CALL101257,9002396670,regular_call,2025-09-09T11:15:38,202,1,West Bengal,2775,0,3,0,0,0,0,none,0
CALL102248,9002525456,regular_call,2025-08-08T06:56:16,770,1,Kerala,1291,0,3,1,0,0,0,none,0
CALL101542,6000153070,regular_call,2025-03-12T09:01:18,226,1,UP-West,1732,0,5,1,0,0,0,none,0
CALL101067,9001318111,regular_call,2025-10-06T00:11:19,354,1,Kerala,3343,1,4,1,0,0,0,none,0
