transaction_id,upi_id,payee_display_name,amount_inr,timestamp,sender_account_age_days,payee_account_age_days,transaction_hour,device_change_last_24h,sender_city,is_first_time_payee,num_txns_to_payee_last_30d,triggered_by_sms_link,triggered_by_screen_share_app,fraud_type,is_fraud
TXN100447,pooja_nair@oksbi,Pooja Nair,1935.27,2026-05-17T07:04:58,2930,1071,7,0,Kolkata,0,20,0,0,none,0
TXN101737,kavita549@paytm,Kavita Patel,3181.2,2026-06-29T21:52:19,2872,356,21,0,Kolkata,0,0,0,0,none,0
TXN101194,divya_sharma@okaxis,Divya Sharma,6511.32,2025-05-23T05:05:48,1982,2685,5,0,Hyderabad,0,14,0,0,none,0
TXN101216,deepak.iyer28@ybl,Deepak Iyer,11644.36,2025-07-12T13:57:51,453,2629,13,0,Mumbai,0,18,0,0,none,0
TXN200100,amazon-h1hfv@paytm,Y1fosb Services,2103.32,2025-08-02T23:33:14,1555,17,23,1,Lucknow,1,0,1,0,phishing_link_scam,1
TXN101016,ritu.chauhan26@paytm,Ritu Chauhan,5135.17,2025-10-05T04:44:15,2199,1022,4,0,Chennai,0,2,0,0,none,0
TXN100784,meena_sharma@ibl,Meena Sharma,950.8,2025-04-28T21:21:31,2360,2947,21,0,Kolkata,0,12,0,0,none,0
TXN102034,sneha778@axl,Sneha Reddy,231.0,2025-03-01T16:12:08,1472,2916,16,0,Lucknow,0,18,0,0,none,0
TXN200275,kycupdate297@paytm,W0t2me Services,1970.67,2025-03-17T21:30:04,1127,15,21,1,Lucknow,1,0,0,1,loan_app_scam,1
TXN101760,rohit.singh8@oksbi,Rohit Singh,11600.17,2026-03-20T11:45:08,1706,1721,11,0,Chennai,0,7,0,0,none,0
TXN102037,sureshsharma1996@okicici,Suresh Sharma,12976.94,2025-06-17T22:18:33,1562,2279,22,0,Pune,0,17,0,0,none,0
TXN101072,arjun334@oksbi,Arjun Reddy,9651.95,2026-01-18T18:56:38,1829,2878,18,0,Delhi,1,15,0,0,none,0
TXN200264,1qi2iqn0fc@upi,B7kqud Services,3.38,2026-02-10T01:46:34,797,26,1,0,Kolkata,1,0,0,1,lottery_prize_scam,1
TXN101491,sneha_verma@ibl,Sneha Verma,1360.86,2026-06-16T01:54:54,1464,1015,1,0,Jaipur,0,15,0,0,none,0
TXN100014,anita.yadav60@ibl,Anita Yadav,240.92,2026-03-04T10:48:26,562,1058,10,0,Jaipur,1,6,0,0,none,0
TXN100012,priya_patel@ibl,Priya Patel,11403.58,2025-06-16T09:39:48,1175,2027,9,0,Bengaluru,0,3,0,0,none,0
TXN100189,rahul472@okicici,Rahul Singh,13147.31,2025-05-20T00:04:24,1099,1408,0,0,Hyderabad,0,2,0,0,none,0
TXN101524,rohit.reddy16@upi,Rohit Reddy,863.5,2025-04-20T07:00:12,210,495,7,0,Hyderabad,0,14,0,0,none,0
TXN101547,kavita807@oksbi,Kavita Singh,912.41,2026-01-14T03:19:31,2875,983,3,0,Hyderabad,0,20,0,0,none,0
TXN101725,shalini323@axl,Shalini Yadav,188.51,2026-01-29T21:20:17,2332,2915,21,0,Indore,0,12,0,0,none,0
TXN101900,divya585@upi,Divya Verma,12534.08,2025-09-08T20:23:36,1420,1330,20,0,Mumbai,0,8,0,0,none,0
TXN200216,icici-ihi6i@apl,KYC Verification,28782.9,2026-02-05T13:40:55,2506,2,13,1,Chennai,1,0,1,1,lottery_prize_scam,1
TXN102432,deepak_chauhan@paytm,Deepak Chauhan,4307.33,2026-01-09T22:31:58,1362,2742,22,0,Chennai,0,4,0,0,none,0
TXN100875,sanjayverma2003@okicici,Sanjay Verma,1930.14,2026-03-01T23:07:06,1859,2211,23,0,Indore,0,10,0,0,none,0
TXN100202,ritu.iyer46@okaxis,Ritu Iyer,520.25,2026-05-26T04:50:25,1078,2448,4,0,Kolkata,0,5,0,0,none,0
TXN200318,amazon-b8pgm@oksbi,Refund Dept,3059.33,2025-03-12T08:31:03,1389,2,8,1,Kolkata,1,0,1,1,job_offer_scam,1
TXN200451,refundteam260@okicici,Customer Support,6.31,2025-10-20T06:53:05,1561,16,6,1,Hyderabad,1,0,0,0,phishing_link_scam,1
